Country Name,Year,Value (USD),Status
102,0.367347,0.003805,0
102,0.387755,0.008043,0
102,0.408163,0.008465,0
102,0.428571,0.014724,0
102,0.44898,0.011745,0
102,0.469388,0.006064,0
102,0.489796,0.011185,0
102,0.510204,0.004256,0
102,0.530612,0.001739,0
102,0.55102,0.001237,0
102,0.571429,0.001411,0
102,0.591837,0.001866,0
102,0.612245,0.00309,0
102,0.632653,0.005286,0
102,0.653061,0.013988,0
102,0.673469,0.007139,0
102,0.693878,0.008265,0
102,0.714286,0.012842,0
102,0.734694,0.015795,0
102,0.755102,0.020596,0
102,0.77551,0.025735,0
102,0.795918,0.024364,0
102,0.816327,0.022174,0
102,0.836735,0.020692,0
102,0.857143,0.019511,0
102,0.877551,0.016861,0
102,0.897959,0.017312,0
102,0.918367,0.018895,0
102,0.938776,0.020689,0
102,0.959184,0.01504,0
102,0.979592,0.01218,0
102,1.0,0.012593,0
103,0.326531,4.8e-05,0
103,0.346939,0.000241,0
103,0.367347,0.00114,0
103,0.387755,0.003005,0
103,0.408163,0.001598,0
103,0.428571,0.0032,0
103,0.44898,0.004285,0
103,0.469388,0.005121,0
103,0.489796,0.006202,0
103,0.510204,0.011809,0
103,0.530612,0.005874,0
103,0.55102,0.001871,0
103,0.571429,0.004481,0
103,0.591837,0.010277,0
103,0.612245,0.015146,0
103,0.632653,0.030725,0
103,0.653061,0.052043,0
103,0.673469,0.029833,0
103,0.693878,0.032684,0
103,0.714286,0.040078,0
103,0.734694,0.04217,0
103,0.755102,0.034762,0
103,0.77551,0.04191,0
103,0.795918,0.033357,0
103,0.816327,0.030375,0
103,0.836735,0.026342,0
103,0.857143,0.039249,0
103,0.877551,0.031599,0
103,0.897959,0.029086,0
103,0.918367,0.048158,0
103,0.938776,0.045301,0
103,0.959184,0.037877,0
103,0.979592,0.040314,0
103,1.0,0.046817,0
104,0.367347,0.001383,0
104,0.387755,0.002873,0
104,0.408163,0.002431,0
104,0.428571,0.004086,0
104,0.44898,0.011478,0
104,0.469388,0.028988,0
104,0.489796,0.022026,0
104,0.510204,0.032082,0
104,0.530612,0.015749,0
104,0.55102,0.013021,0
104,0.571429,0.013795,0
104,0.591837,0.021423,0
104,0.612245,0.02062,0
104,0.632653,0.038115,0
104,0.653061,0.079304,0
104,0.673469,0.043812,0
104,0.693878,0.02584,0
104,0.714286,0.030966,0
104,0.734694,0.020574,0
104,0.755102,0.015258,0
104,0.77551,0.022494,0
104,0.795918,0.027014,0
105,0.0,0.171171,0
105,0.020408,0.211059,0
105,0.040816,0.207233,0
105,0.061224,0.310267,0
105,0.081633,0.34335,0
105,0.102041,0.452662,0
105,0.122449,0.498796,0
105,0.142857,0.449878,0
105,0.163265,0.778983,0
105,0.183673,0.989692,0
106,0.469388,0.000406,0
107,0.632653,0.011979,0
107,0.653061,0.017281,0
107,0.673469,0.027812,0
107,0.693878,0.014613,0
107,0.714286,0.010621,0
107,0.734694,0.013222,0
107,0.755102,0.011203,0
107,0.77551,0.011869,0
107,0.795918,0.031588,0
107,0.816327,0.01394,0
107,0.836735,0.010941,0
107,0.857143,0.01058,0
107,0.877551,0.010955,0
107,0.897959,0.0077,0
107,0.918367,0.013376,0
107,0.938776,0.017873,0
107,0.959184,0.02525,0
107,0.979592,0.019858,0
107,1.0,0.016875,0
108,0.44898,0.000137,0
108,0.469388,8.7e-05,0
108,0.489796,5.8e-05,0
108,0.510204,3.3e-05,0
108,0.530612,6e-05,0
108,0.55102,8.3e-05,0
108,0.571429,0.000127,0
108,0.591837,0.000478,0
108,0.612245,0.00082,0
108,0.632653,0.000926,0
108,0.653061,0.001609,0
108,0.673469,0.000707,0
108,0.693878,0.000952,0
108,0.714286,0.000968,0
108,0.734694,0.001691,0
108,0.755102,0.001158,0
108,0.77551,0.000857,0
108,0.795918,0.000895,0
108,0.816327,0.001016,0
108,0.836735,0.000993,0
108,0.857143,0.001357,0
108,0.877551,0.001405,0
108,0.897959,0.00118,0
108,0.918367,0.001693,0
108,0.938776,0.001252,0
108,0.959184,0.001405,0
108,0.979592,0.001814,0
108,1.0,0.00174,0
109,0.530612,0.016277,0
109,0.55102,0.027512,0
109,0.571429,0.046014,0
109,0.591837,0.068507,0
109,0.612245,0.085355,0
109,0.632653,0.336288,0
109,0.653061,0.737059,0
109,0.673469,0.66664,0
109,0.693878,0.294582,0
109,0.714286,0.29254,0
109,0.734694,0.319886,0
109,0.755102,0.19642,0
109,0.77551,0.135929,0
109,0.795918,0.092313,0
109,0.816327,0.067712,0
109,0.836735,0.080561,0
109,0.857143,0.083987,0
109,0.877551,0.084942,0
109,0.897959,0.104307,0
109,0.918367,0.159642,0
109,0.938776,0.188619,0
109,0.959184,0.116918,0
109,0.979592,0.123764,0
110,0.877551,8e-06,0
110,0.897959,3e-06,0
110,0.918367,9e-06,0
110,0.938776,3e-06,0
110,0.959184,1e-05,0
110,0.979592,3e-06,0
110,1.0,2.5e-05,0
111,0.530612,0.012866,0
111,0.55102,0.020592,0
111,0.571429,0.091803,0
111,0.591837,0.272968,0
111,0.612245,0.636928,0
111,0.632653,0.809798,0
111,0.653061,0.3936,0
111,0.673469,0.302049,0
111,0.693878,0.193416,0
111,0.714286,0.116133,0
111,0.734694,0.168208,0
111,0.755102,0.295037,0
111,0.77551,0.209168,0
111,0.795918,0.327482,0
111,0.816327,0.25219,0
111,0.836735,0.176834,0
111,0.857143,0.126043,0
111,0.877551,0.132505,0
111,0.897959,0.127429,0
111,0.918367,0.28017,0
111,0.938776,0.34244,0
111,0.959184,0.258292,0
111,0.979592,0.198049,0
111,1.0,0.273606,0
112,0.44898,2.8e-05,0
112,0.469388,7e-06,0
112,0.489796,1.5e-05,0
112,0.510204,1.3e-05,0
112,0.530612,5.2e-05,0
112,0.55102,6.8e-05,0
112,0.571429,0.000324,0
112,0.591837,0.000253,0
112,0.612245,0.000392,0
112,0.632653,0.000942,0
112,0.653061,0.001785,0
112,0.673469,0.000685,0
112,0.693878,0.000393,0
112,0.714286,0.000181,0
112,0.734694,0.000221,0
112,0.755102,0.000139,0
113,0.795918,9.1e-05,0
113,0.877551,5e-06,0
113,0.897959,6e-06,0
113,0.918367,6e-06,0
113,0.938776,1e-06,0
113,0.959184,5e-06,0
113,0.979592,8e-06,0
113,1.0,2e-06,0
114,0.081633,0.000614,0
114,0.102041,0.002104,0
114,0.122449,0.00368,0
114,0.142857,0.001396,0
